Pick,Round,Player,School,Position,Team,ReachValue,Points,State,PickTraded,ActualPick
74,3,Tylan Wallace,Oklahoma State,WR,Washington (Trade),+16,20,Oklahoma,True,False
75,3,Ifeatu Melifonwu,Syracuse,CB,Dallas,-2,10,New York,False,False
76,3,Jalen Mayfield,Michigan,OT,NY Giants,+37,10,Michigan,False,False
77,3,Ronnie Perkins,Oklahoma,EDGE,LA Chargers,+2,10,Oklahoma,False,False
78,3,Patrick Jones II,Pitt,EDGE,Minnesota,-8,10,Pennsylvania,False,False
79,3,Elijah Molden,Washington,CB,Las Vegas (Trade),+17,20,Washington,True,False
80,3,Jay Tufele,USC,DL3T,Las Vegas,+30,10,California,False,False
81,3,Ben Cleveland,Georgia,OG,Miami,+22,10,Georgia,False,False
82,3,Hamsah Nasirildeen,Florida State,S,Washington,+2,10,Florida,False,False
83,3,Daviyon Nixon,Iowa,DL3T,Carolina (Trade),+30,20,Iowa,True,False
84,3,Marvin Wilson,Florida State,DL1T,Dallas (Trade),+16,20,Florida,True,False
85,3,Amon-Ra St. Brown,USC,WR,Tennessee,+22,10,California,False,False
86,3,Quinn Meinerz,UW-Whitewater,OG,Minnesota (Trade),+5,20,Wisconsin,True,False
87,3,Spencer K. Brown,Northern Iowa,OT,Pittsburgh,-15,10,Iowa,False,False
88,3,Jaylen Twyman,Pitt,DL5T,LA Rams,+32,10,Pennsylvania,False,False
89,3,Brady Christensen,BYU,OT,Carolina,-8,10,Utah,False,False
90,3,Milton Williams,Louisiana Tech,DL5T,Minnesota (Trade),-6,20,Louisiana,True,False
91,3,Rashad Weaver,Pitt,EDGE,Cleveland (Trade),+1,20,Pennsylvania,True,False
92,3,Dyami Brown,North Carolina,WR,Green Bay,+20,10,North Carolina,False,False
93,3,Tyler Shelvin,LSU,DL1T,Buffalo,+22,10,Louisiana,False,False
94,3,James Hudson,Cincinnati,OT,Baltimore (Trade),-28,20,Ohio,True,False
95,3,Alim McNeill,NC State,DL3T,Tampa Bay,+26,10,North Carolina,False,False
96,3,Seth Williams,Auburn,WR,New England (Comp),+30,10,Alabama,False,False
97,3,Talanoa Hufanga,USC,S,LA Chargers (Comp),+13,10,California,False,False
98,3,Paulson Adebo,Stanford,CB,New Orleans (Comp),+6,10,California,False,False
99,3,Marlon Tuipulotu,USC,DL3T,Dallas (Comp),+5,10,California,False,False
100,3,Quincy Roche,Miami (FL),EDGE,Tennessee (Comp),+2,10,Florida,False,False
101,3,Divine Deablo,Virginia Tech,S,Detroit (Trade),+2,20,Virginia,True,False
102,3,Benjamin St-Juste,Minnesota,CB,San Francisco (Comp),-58,10,Minnesota,False,False
103,3,Chazz Surratt,North Carolina,OLB,LA Rams (Comp),+30,10,North Carolina,False,False
104,3,Dylan Moses,Alabama,OLB,Baltimore (Comp),+26,10,Alabama,False,False
105,3,Anthony Schwartz,Auburn,WR,New Orleans (Comp),+2,10,Alabama,False,False
106,4,Tommy Togiai,Ohio State,DL3T,Jacksonville,-11,8,Ohio,False,False
107,4,Brevin Jordan,Miami (FL),TE,NY Jets,+12,8,Florida,False,False
108,4,Kenneth Gainwell,Memphis,RB,Atlanta,+25,8,Tennessee,False,False
109,4,Hunter Long,Boston College,TE,Houston,+4,8,Massachusetts,False,False
110,4,Damonte Coxie,Memphis,WR,Cleveland (Trade),-4,18,Tennessee,True,False
111,4,Cameron McGrone,Michigan,OLB,Cincinnati,+23,8,Michigan,False,False
112,4,Shaun Wade,Ohio State,CB,Detroit,+6,8,Ohio,False,False
113,4,Bobby Brown III,Texas A&M,DL1T,Cleveland,+6,8,Texas,False,False
114,4,Shaka Toney,Penn State,EDGE,Atlanta (Trade),-16,18,Pennsylvania,True,False
115,4,Paris Ford,Pitt,S,Dallas,+2,8,Pennsylvania,False,False
116,4,Israel Mukuamu,South Carolina,CB,NY Giants,+0,8,South Carolina,False,False
117,4,JaCoby Stevens,LSU,S,San Francisco,-32,8,Louisiana,False,False
118,4,Deonte Brown,Alabama,OG,LA Chargers,+10,8,Alabama,False,False
119,4,Michael Carter,North Carolina,RBC,Minnesota,+43,8,North Carolina,False,False
120,4,Jack Anderson,Texas Tech,OG,New England,-39,8,Texas,False,False
121,4,Sage Surratt,Wake Forest,WR,Las Vegas (Trade),+2,18,North Carolina,True,False
122,4,Ar'Darius Washington,TCU,S,New England (Trade),+4,18,Texas,True,False
123,4,Hamilcar Rashed,Oregon State,EDGE,Philadelphia (Trade),-13,18,Oregon,True,False
124,4,Tommy Tremble,Notre Dame,TE,Washington,+14,8,Indiana,False,False
125,4,Cameron Sample,Tulane,EDGE,Minnesota (Trade),-18,18,Louisiana,True,False
126,4,Khalil Herbert,Virginia Tech,RBC,Tennessee,+15,8,Virginia,False,False
127,4,Tommy Doyle,Miami (OH),OT,Indianapolis,-29,8,Ohio,False,False
128,4,Drake Jackson,Kentucky,OC,Pittsburgh,+8,8,Kentucky,False,False
129,4,Jimmy Morrissey,Pitt,OC,Seattle,-77,8,Pennsylvania,False,False
130,4,Ihmir Smith-Marsette,Iowa,WR,Jacksonville (Trade),+9,18,Iowa,True,False
131,4,Trey Hill,Georgia,OC,Baltimore,+4,8,Georgia,False,False
132,4,Derrick Barnes,Purdue,ILB,Cleveland,+4,8,Indiana,False,False
133,4,Jonathan Marshall,Arkansas,DL1T,New Orleans,+0,8,Arkansas,False,False
134,4,Jaelon Darden,North Texas,WRS,Minnesota (Trade),+9,18,Texas,True,False
135,4,Trey Sermon,Ohio State,RB,Green Bay,-11,8,Ohio,False,False
136,4,Tariq Thompson,San Diego State,S,Baltimore (Trade),-3,18,California,True,False
137,4,Chuba Hubbard,Oklahoma State,RB,Tampa Bay,+33,8,Oklahoma,False,False
137,4,Chuba Hubbard,Oklahoma State,RB,Tampa Bay,+33,8,Oklahoma,False,False
138,4,Chris Rumph II,Duke,EDGE,Dallas (Comp),-2,8,North Carolina,False,False
139,4,Ta'Quon Graham,Texas,DL3T,New England,-9,8,Texas,False,False
140,4,Trill Williams,Syracuse,CB,Pittsburgh (Comp),+9,8,New York,False,False
141,4,K.J. Britt,Auburn,ILB,LA Rams (Comp),-16,8,Alabama,False,False
142,4,Robert Rochell,Central Arkansas,CB,Green Bay (Comp),-10,8,Arkansas,False,False
143,4,Marco Wilson,Florida,CB,NY Jets (Trade),+9,18,Florida,True,False
144,4,Marlon Williams,UCF,WR,Kansas City (Comp),+21,8,Florida,False,False
145,5,Tony Poljan,Virginia,TE,Jacksonville,-8,7,Virginia,False,False
146,5,Charles Snowden,Virginia,OLB,NY Jets,+17,7,Virginia,False,False
147,5,Nico Collins,Michigan,WR,Houston,+23,7,Michigan,False,False
148,5,Olaijah Griffin,USC,CB,Atlanta,+13,7,California,False,False
149,5,Darius Stills,West Virginia,DL5T,Cincinnati,+34,7,West Virginia,False,False
150,5,Tedarrell Slaton,Florida,DL1T,Philadelphia,+8,7,Florida,False,False
151,5,Shakur Brown,Michigan State,CB,Carolina,+14,7,Michigan,False,False
152,5,Malik Herring,Georgia,DL5T,Denver,-15,7,Georgia,False,False
153,5,Amari Rodgers,Clemson,WR,Detroit,+3,7,South Carolina,False,False
154,5,Rhamondre Stevenson,Oklahoma,RB,NY Jets (Trade),+0,17,Oklahoma,True,False
155,5,Drew Dalman,Stanford,OC,San Francisco,-95,7,California,False,False
156,5,Monty Rice,Georgia,OLB,Miami (Trade),+11,17,Georgia,True,False
157,5,Rodarius Williams,Oklahoma State,CB,Minnesota,+19,7,Oklahoma,False,False
158,5,Caden Sterns,Texas,S,Houston (Trade),+14,17,Texas,True,False
159,5,Damon Hazelton,Missouri,WR,LA Chargers,-3,7,Missouri,False,False
160,5,Keith Taylor,Washington,CB,Arizona,+19,7,Washington,False,False
161,5,Darren Hall,San Diego State,CB,Buffalo (Trade),+6,17,California,True,False
162,5,Jordan Smith,UAB,EDGE,Las Vegas (Trade),+4,17,Alabama,True,False
163,5,Shane Buechele,SMU,QB,Washington,-22,7,Texas,False,False
164,5,Sadarius Hutcherson,South Carolina,OG,NY Giants (Trade),-1,17,South Carolina,True,False
165,5,Tommy Kraemer,Notre Dame,OG,Indianapolis,-13,7,Indiana,False,False
166,5,Paddy Fisher,Northwestern,ILB,Tennessee,-5,7,Illinois,False,False
167,5,Dazz Newsome,North Carolina,WR,Las Vegas (Trade),-3,17,North Carolina,True,False
168,5,Jamar Johnson,Indiana,S,Minnesota (Trade),-76,17,Indiana,True,False
169,5,Jamien Sherwood,Auburn,S,Cleveland (Trade),+18,17,Alabama,True,False
170,5,Robert Hainsey,Notre Dame,OT,Jacksonville (Trade),+9,17,Indiana,True,False
171,5,Demetric Felton,UCLA,RBC,Baltimore,+24,7,California,False,False
172,5,Daelin Hayes,Notre Dame,EDGE,San Francisco (Trade),+6,17,Indiana,True,False
173,5,Richard LeCounte III,Georgia,S,Green Bay,+0,7,Georgia,False,False
174,5,Adrian Ealy,Oklahoma,OT,Buffalo,+11,7,Oklahoma,False,False
175,5,Thomas Graham Jr.,Oregon,CB,Kansas City,+1,7,Oregon,False,False
176,5,Alaric Jackson,Iowa,OT,Tampa Bay,+7,7,Iowa,False,False
177,5,Jaret Patterson,Buffalo,RB,New England (Comp),+1,7,New York,False,False
178,5,Osa Odighizuwa,UCLA,DL5T,Green Bay (Comp),-36,7,California,False,False
179,5,Donovan Stiner,Florida,S,Dallas (Comp),+4,7,Florida,False,False
180,5,Deommodore Lenoir,Oregon,CB,San Francisco (Comp),-17,7,Oregon,False,False
181,5,Amen Ogbongbemiga,Oklahoma State,OLB,Kansas City (Comp),-3,7,Oklahoma,False,False
182,5,Tony Fields II,West Virginia,OLB,Atlanta (Comp),-16,7,West Virginia,False,False
183,5,Khyiris Tonga,BYU,DL1T,Atlanta (Comp),-16,7,Utah,False,False
185,6,Xavier Kelly,Arkansas,DL3T,LA Chargers (Trade),-31,16,Arkansas,True,False
186,6,Wyatt Hubert,Kansas State,EDGE,NY Jets (Trade),+9,16,Kansas,True,False
187,6,Davis Mills,Stanford,QB,Denver,+0,6,California,False,False
188,6,D.J. Daniel,Georgia,CB,New England (Trade),+8,16,Georgia,True,False
189,6,Damar Hamlin,Pitt,S,Philadelphia,-1,6,Pennsylvania,False,False
190,6,Tre' McKitty,Georgia,TE,Cincinnati,-6,6,Georgia,False,False
191,6,Sam Ehlinger,Texas,QB,Carolina (Trade),-1,16,Texas,True,False
192,6,Larry Borom,Missouri,OT,Dallas (Trade),+3,16,Missouri,True,False
193,6,Kylin Hill,Mississippi State,RBC,Carolina,+29,6,Mississippi,False,False
194,6,Dax Milne,BYU,WRS,San Francisco,-74,6,Utah,False,False
195,6,Joshua Kaindoh,Florida State,EDGE,Houston (Trade),+9,16,Florida,True,False
196,6,Naquan Jones,Michigan State,DL1T,NY Giants,-28,6,Michigan,False,False
197,6,Victor Dimukeje,Duke,EDGE,New England,+6,6,North Carolina,False,False
198,6,Javian Hawkins,Louisville,RBC,LA Chargers,+30,6,Kentucky,False,False
199,6,Jacob Harris,UCF,WR,Minnesota,-115,6,Florida,False,False
200,6,Elijah Mitchell,Louisiana-Lafayette,RB,Las Vegas,+12,6,Louisiana,False,False
201,6,Michal Menet,Penn State,OC,NY Giants (Trade),-40,16,Pennsylvania,True,False
202,6,Tyree Gillespie,Missouri,S,Cincinnati (Trade),+0,16,Missouri,True,False
203,6,Stone Forsythe,Florida,OT,Houston (Trade),+2,16,Florida,True,False
204,6,Camryn Bynum,California,CB,Chicago,+23,6,California,False,False
205,6,Matt Bushman,BYU,TE,Tennessee,+2,6,Utah,False,False
206,6,Josh Imatorbhebhe,Illinois,WR,Indianapolis,+34,6,Illinois,False,False
207,6,Tamorrion Terry,Florida State,WR,Kansas City (Trade),+28,16,Florida,True,False
